"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"Medicine Man","Sally Robinson","John McTiernan","Sean Connery"
"Meet Joe Black","Maxwell Anderson","Martin Brest","Brad Pitt"
"Meet Me in St. Louis","Sally Benson","Vincente Minnelli","Judy Garland"
"Meet the Feebles","Peter Jackson","Peter Jackson","Danny Mulheron"
"Meet the Fockers","Mary Clarke","Jay Roach","De"
"Meet the Parents","Mary Clarke","Jay Roach","De"
"Megiddo: The Omega Code 2","Hollis Barton","Paul Lombardi","Michael York"
"Memento","Christopher Nolan","Christopher Nolan","Guy Pearce"
"Memoirs of an Invisible Man","Robert Collector","John Carpenter","Chevy Chase"
"Men in Black","Lowell Cunningham","Barry Sonnenfeld","Tommy Jones"
"Men in Black II","Lowell Cunningham","Barry Sonnenfeld","Tommy Jones"
"Men of Honor","Scott Smith"," Tillman","De"
"Men with Brooms","Paul Gross","Paul Gross","James Douglas"
"Menace II Society","Albert Hughes","Albert Hughes","Tyrin Turner"
"Meng long guojiang"," "," ",""
"The Merchant of Venice","Michael Radford","Michael Radford","Al Pacino"
"Mercury Rising","Lawrence Konner","Harold Becker","Bruce Willis"
"Message in a Bottle"," Di","Luis Mandoki","Kevin Costner"
"The Message"," "," ",""
"Meteor","Stanley Mann","Ronald Neame","Sean Connery"
"Metoroporisu","Marc Handler","Rintaro","Yuka Imoto"
"Metro","Randy Feldman","Thomas Carter","Eddie Murphy"
"Metropolitan","Whit Stillman","Whit Stillman","Carolyn Farina"
"The Mexican","J.H. Wyman","Gore Verbinski","Brad Pitt"
"Michael Collins","Neil Jordan","Neil Jordan","Ian Hart"
"Michael Moore Hates America","Michael Wilson","Michael Wilson","Mike Abraham"
"Mickey Blue Eyes","Robert Kuhn","Kelly Makin","Hugh Grant"
"A Midnight Clear","Keith Gordon","Keith Gordon","Peter Berg"
"Midnight Cowboy","James Herlihy","John Schlesinger","Dustin Hoffman"
"Midnight Express","Billy Hayes","Alan Parker","Brad Davis"
"Midnight Run","George Gallo","Martin Brest","De"
"Midnight in the Garden of Good and Evil","John Berendt","Clint Eastwood","John Cusack"
